experiment_datetime,cv_folds,batch_size,dropout,epochs,learning_rate,num_units,mean_test_score,std_test_score
20230508_02:42,3,128,0.4,50,0.0001,32,-0.0026184377080459,4.849812966856349e-05
20230508_02:42,3,128,0.4,50,0.0001,32,-0.0026184377080459,4.849812966856349e-05
20230508_02:50,3,128,0.4,50,0.0001,32,-0.0026178997154702,4.667994841028767e-05
20230527_04:19,3,128,0.4,50,0.0001,32,-0.0026618449835661,6.265911892636023e-05
20230528_16:59,3,128,0.4,50,0.0001,32,-0.0025931096719749,7.521508062309298e-05
20230529_06:35,3,128,0.4,50,0.0001,32,-0.0026543054464127,6.869026924302646e-05
20230529_06:36,3,128,0.4,50,0.0001,32,-0.0026507637124444,8.687093244438557e-05
20230529_06:41,3,128,0.4,50,0.0001,32,-0.0026341533664528,2.478154146474597e-05
20230530_21:24,3,128,0.4,50,0.0001,32,-0.0026042748739813,4.6061682295976125e-05
20230605_00:01,3,128,0.4,50,0.0001,32,-0.0026064222421190567,5.89851008060942e-05
